d_w_id	d_id	d_ytd	d_tax	d_next_o_id	d_name	d_street_1	d_street_2	d_city	d_state	d_zip
9	1	5ecc613150de01b7e6824594426f24f4	0.098	3001	r47rgU	647775699b03af46ee65b37e712a426e	86d3e5e292d7f0dbe4e37a1a265bf4e0	4b7fb7966beb00c0a1b3739342fbf76a	CR	734411111
6	1	5ecc613150de01b7e6824594426f24f4	0.1975	3001	VDSsrWEAD	4c0fe8fa19fdd9638cb6d8f43b2d1196	ec44dacfbbed0dd443dc5c88fb38969b	9ac9b9dcc7480de7b6267919afe91186	CR	384711111
2	1	5ecc613150de01b7e6824594426f24f4	0.1666	3001	lNNS7TRO	66c40db4a7654c4762efec03e6b1cdc0	166c2bd7c6b10d01cc328fa8ff0a4cd5	24f0fcf7443f335d323dbb3879742edf	KN	539111111
7	1	5ecc613150de01b7e6824594426f24f4	0.0168	3001	Lts0Oe	ffd07f808aceee26f2878bab6cd25acc	df0d49e4ca4a5d21da271c8d6454caf2	73817a0eeaa6a5ad9646e310c4da842c	XD	860811111
8	1	5ecc613150de01b7e6824594426f24f4	0.1813	3001	T2gIdU3pn	0cfcc9c9ae961b47165ff73dd9764a20	abb0cf10194e1811ab4730bd7f775403	dfdb83a8f30da4e6bed68a02231e8ff8	EQ	559511111
4	1	5ecc613150de01b7e6824594426f24f4	0.1168	3001	fWJtdKd0J	7f549a3119b2114cd3973ef264a257ab	ca7085184c9cdb0c04dd79563c5dfff6	6facf42d5a71ee5e3b09840f8718a094	ZQ	834811111
1	1	5ecc613150de01b7e6824594426f24f4	0.1621	3001	K8e7BWbI	f28b448d276e876009ae63b7f0a6c9d8	ca6469d134b642ef70ff0bb3923dd1c3	440649a716bdade68f7f40685da1c6ca	WZ	950911111
3	1	5ecc613150de01b7e6824594426f24f4	0.139	3001	WYCDswmB	a09ee295bfca9a0ca024426d04eb5ce8	eb3c73f8b16f43c4089cd6ca35d0a3c9	790a1527c92c2228587b0ffda94600d5	EZ	830411111
5	1	5ecc613150de01b7e6824594426f24f4	0.1411	3001	QYfh4reY7y	c5b9e6d9b78305cf72119f3fc4ae743f	c1eb55970eadff9e434601c7d82fda42	0ade8c50c0d49a63dc7f24b7b8bd5326	HG	762411111
10	1	5ecc613150de01b7e6824594426f24f4	0.1812	3001	w0sqZ3Ra	be8438e010c8654d617dd8545fc66358	38ffe6c627ccf6bbfa71a6499f2221d7	24e5ed87449906cb066abf1e5df41926	AG	762111111
9	2	5ecc613150de01b7e6824594426f24f4	0.1684	3001	ocEtCa	4b6758f19224c4ca530ee5ce7f25fda4	e44c65fcde3afc577442958d823d55cb	64d89b1467468dccd8236feef19c4645	LP	123311111
6	2	5ecc613150de01b7e6824594426f24f4	0.0805	3001	TubiXq2tl	130e283bf0b10a7de109081e59a9aa2e	65d0ce86ec074d842ca270d892b278c0	89c5e6a294504e005b6083fdf52a987a	RA	829711111
7	2	5ecc613150de01b7e6824594426f24f4	0.1202	3001	gdwCxdF8qd	d21b6a49511052053447276fd157c0a3	3d94c1a4f8fbe86d9f22b5e202c58cc9	98b7c9b6adf5390a57a774fcfdde3ba0	YO	360611111
8	2	5ecc613150de01b7e6824594426f24f4	0.078	3001	fGZgPnp	83b88e6911d6dc757169c32e3a2c4425	f24653bed320a314a0a1be061e0bb238	a3b2e30b8ab6747c9e26892e27d3e7a9	WH	841311111
3	2	5ecc613150de01b7e6824594426f24f4	0.1717	3001	FnWn6oG	459764372d324e3a2dd868d3070efac1	3cfd2dcebca65113c56e423487c6d18e	8b481602bab8394456d4e0f7c051c0d9	SA	106511111
1	2	5ecc613150de01b7e6824594426f24f4	0.0401	3001	DsgC1cnqH	79fe830cbab404182c8a26449fa4588a	4ca1f239de8e2a6f42729d600cf565d4	7b21ffbecf35fa319243bdb8545d514e	LW	765211111
4	2	5ecc613150de01b7e6824594426f24f4	0.0466	3001	Juz24v	399975eb2a581029b9285d7a3415bf1c	e8d096cb44734a8ea277280dc64873bc	c57289413ff07c38a734c6b499f3768c	AA	234011111
2	2	5ecc613150de01b7e6824594426f24f4	0.1408	3001	elseagbn	14dd0411ff5c3dccb31b261fe3e1abf0	88767b2fccd816d01cf31c6a6c9ef9ed	83e1c77dff3190d130d2800ba2783572	HT	965711111
5	2	5ecc613150de01b7e6824594426f24f4	0.0343	3001	cjIgeC	072e0b21e499c21ed4f9ee10152a5a6b	fdb87e0b802efba926925413a867d8c3	7a710c16b46dc823deab2f271721847c	DU	490911111
10	2	5ecc613150de01b7e6824594426f24f4	0.1001	3001	TRxJJvL	81cf3d432bb4e3e403880fbde365bfef	45ae72561270e01a99c5bc18c413125b	03ee2fa594fd42b0f47f643bbacbfffa	DW	246211111
9	3	5ecc613150de01b7e6824594426f24f4	0.1046	3001	oaOVRy	0f342e4e4d2916594d07e760ee182c6a	6c4ac407a3520a90b08848dde96688bf	3e2d613f534c739a7bb94188d60f8ef8	OA	432311111
6	3	5ecc613150de01b7e6824594426f24f4	0.0927	3001	bnX40OUd	d5c273744a8344d0657745ba7c16929f	cf62067c25a03ec42e3a44a09e5e4f2c	ec92b2d3d2ec1929e9cefab972053c52	ZZ	229211111
